Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
118,Islamic Center of Southern California,434 S Vermont Ave,Los Angeles,CA,90020,,,,1976,,"https://islamiccenter.com/who-we-are/#:~:text=%E2%80%9CAnd%20thus%20have%20We%20willed,of%20its%20members%20and%20volunteers.",,,,,77
119,Islamic Center of Southern California - Food Distribution Center,434 South Vermont Avenue,Los Angeles,CA,90020,,,,,,,,,,,4152
120,Masjid Al-Falah/Los Angeles Islamic Center,309 South Serrano Avenue,Los Angeles,CA,90020,,,,-,Information Without Year,(213) 887-5140,,,,,607
121,Muslims For Progressive Values,1465 Tamarind Avenue,Los Angeles,CA,90028,,,,,,,,,,,4168
122,HOLLYWOOD Mosque,4430 Fountain Avenue,Los Angeles,CA,90029,,,,,,,,,,,4158
123,IMAN Foundation,3376 Motor Avenue,Los Angeles,CA,90034,,,,,,,,,,,4156
124,Iranian American Muslim Association,3376 Motor ave,Los Angeles,CA,90034,,,,1996,,https://www.linkedin.com/company/imancenter,,,,,1163
125,New Mosque,10510 Rose Avenue,Los Angeles,CA,90034,,,,,,,,,,,4182
126,Islah LA,2900 West Slauson Avenue,Los Angeles,CA,90043,,,,,,,,,,,4154
127,Masjid Al Salam,2900 Florence Ave,Los Angeles,CA,90043,,,,1981,,https://ca.cair.com/updates/11-historically-black-socal-mosques-to-support-in-black-history-month-beyond/,,,,,1625
128,Masjid Bilal Ibn Rabah,5450 Crenshaw Blvd,Los Angeles,CA,90043,,,,-,Information Without Year,https://www.masjidbilalonline.com/bilal-learning-center-los-angeles.html,,,,,1846
129,Ebrahim Mosque,7014 South Vermont Avenue,Los Angeles,CA,90044,,,,,,,,,,,4159
130,The Nation of Islam Muhammad Mosque #27,8039 South Vermont Avenue,Los Angeles,CA,90044,,,,,,,,,,,4180
131,Islamic Center of Los Angeles,9642 South Western Avenue,Los Angeles,CA,90047,,,,,,,,,,,4153
132,Masjid Al Rasul,11211 S Central Ave,Los Angeles,CA,90059,,,,2019,,https://rakwa.com/listting/islamic-center-of-watts-masjid-al-rasul,,,,,1624
133,Masjid Omar ibn Al-Khattab,1025 W Exposition Blvd,Los Angeles,CA,90089,,,,1994,,https://www.archnet.org/sites/10386,,,,,604
134,Bell Islamic Center,5250 Gage Avenue,Bell,CA,90201,,,,2011,,https://prayersconnect.com/mosques/84084138-bell-islamic-center-bell-california-united-states,,,,,781
135,El Hussein Youth Center Mosque,4213 Gage Avenue,Bell,CA,90201,,,,,,,,,,,4144
136,El-Hussein Community Center,6840 Otis ave,Bell,CA,90201,,,,1984,,"https://www.causeiq.com/organizations/el-hussein-youth-corporation,953942917/",,,,,1091
137,Masjid Al-Siddique,4313 Gage ave,Bell,CA,90201,,,,1984,,"https://www.causeiq.com/organizations/el-hussein-youth-corporation,953942917/",,,,,1763
138,Al Rashid Islamic Center,2226 E Compton,Compton,CA,90221,,,,2002,,https://prayersconnect.com/mosques/84066548-masjid-al-rashid-compton-california-united-states,,,,,865
139,Ismaili Cultural Center,106 N Alameda Blvd,Compton,CA,90221,,,,-,Information Without Year,(510) 865-6128,,,,,90
140,ORODARA,5800 Bristol Parkway,Culver City,CA,90230,,,,,,,,,,,4149
141,Tehkal bala,5800 Bristol Parkway,Culver City,CA,90230,,,,,,,,,,,4090
142,Yaseen Education Foundation,4117 Overland ave,Culver City,CA,90230,,,,1998,,https://yaseened.org/about-us/,,,,,2241
143,King Fahad Mosque - Los Angeles,10980 Washington Blvd,Culver City,CA,90232,,,,1998,,https://kingfahadmosque.org/,,,,,2291
144,Islamic Society of Downey,11022 Old River School Road,Downey,CA,90241,,,,2024,,https://isodla.org/,,,,,618
